Complaint_Type,District,Created_Date,Descriptor
Illegal Parking,QUEENS,2013-10-29 18:47:46,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-29 17:58:58,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-29 17:54:54,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-29 17:35:07,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-29 14:30:03,Double Parked Blocking Traffic
Illegal Parking,QUEENS,2013-10-29 14:02:48,Detached Trailer
Illegal Parking,QUEENS,2013-10-29 13:21:08,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-29 13:19:49,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-29 13:12:19,Unauthorized Bus Layover
Illegal Parking,QUEENS,2013-10-29 12:00:45,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-29 11:19:37,Overnight Commercial Storage
Illegal Parking,QUEENS,2013-10-29 10:48:54,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-29 10:42:38,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-29 10:21:08,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-29 09:26:30,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-29 09:14:50,Double Parked Blocking Vehicle
Illegal Parking,QUEENS,2013-10-29 09:13:14,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-29 00:27:44,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-29 00:09:51,Detached Trailer
Illegal Parking,QUEENS,2013-10-28 23:47:57,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-28 22:58:45,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-28 22:46:49,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-28 22:45:43,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-28 22:04:23,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-28 21:51:26,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-28 21:20:58,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-28 20:47:16,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-28 19:51:04,Double Parked Blocking Traffic
Illegal Parking,QUEENS,2013-10-28 18:58:58,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-28 17:49:58,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-28 16:51:52,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-28 16:25:51,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-28 16:15:08,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-28 16:10:06,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-28 15:59:40,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-28 15:55:12,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-28 15:49:26,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-28 15:38:12,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-28 15:32:30,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-28 14:43:38,Double Parked Blocking Traffic
Illegal Parking,QUEENS,2013-10-28 14:32:53,Double Parked Blocking Traffic
Illegal Parking,QUEENS,2013-10-28 13:46:42,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-28 13:29:35,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-28 13:05:06,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-28 12:26:21,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-28 12:22:50,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-28 11:21:00,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-28 11:15:53,Double Parked Blocking Vehicle
Illegal Parking,QUEENS,2013-10-28 10:26:44,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-28 09:57:49,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-28 07:05:13,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-28 04:50:42,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-28 03:35:40,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-28 03:33:37,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-27 23:33:35,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-27 22:20:37,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-27 22:13:37,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-27 22:08:35,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-27 21:09:01,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-27 20:35:58,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-27 19:56:39,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-27 19:52:41,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-27 19:50:36,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-27 19:12:14,Double Parked Blocking Vehicle
Illegal Parking,QUEENS,2013-10-27 19:10:18,Double Parked Blocking Vehicle
Illegal Parking,QUEENS,2013-10-27 16:43:09,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-27 15:29:12,Detached Trailer
Illegal Parking,QUEENS,2013-10-27 13:42:28,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-27 13:00:08,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-27 12:48:14,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-27 12:25:38,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-27 12:18:14,Double Parked Blocking Traffic
Illegal Parking,QUEENS,2013-10-27 12:12:38,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-27 12:09:05,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-27 12:08:46,Double Parked Blocking Vehicle
Illegal Parking,QUEENS,2013-10-27 12:00:38,Double Parked Blocking Traffic
Illegal Parking,QUEENS,2013-10-27 11:45:26,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-27 11:05:16,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-27 11:04:37,Double Parked Blocking Vehicle
Illegal Parking,QUEENS,2013-10-27 10:39:07,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-27 10:39:02,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-27 09:28:34,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-27 09:12:59,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-27 08:45:24,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-27 07:58:08,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-27 05:01:35,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-27 01:49:26,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-27 00:44:30,Overnight Commercial Storage
Illegal Parking,QUEENS,2013-10-27 00:31:12,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-26 22:25:46,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-26 22:17:00,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-26 22:13:21,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-26 22:02:45,Overnight Commercial Storage
Illegal Parking,QUEENS,2013-10-26 21:59:02,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-26 20:32:38,Overnight Commercial Storage
Illegal Parking,QUEENS,2013-10-26 17:17:48,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-26 15:30:46,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-26 15:29:20,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-26 15:00:38,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-26 14:21:59,Overnight Commercial Storage
Illegal Parking,QUEENS,2013-10-26 14:10:09,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-26 14:03:39,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-26 13:35:43,Overnight Commercial Storage
Illegal Parking,QUEENS,2013-10-26 12:06:18,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-26 09:39:47,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-26 08:46:13,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-26 07:33:31,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-26 06:20:17,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-26 03:07:37,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-26 00:20:34,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-26 00:12:20,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-25 23:16:19,Overnight Commercial Storage
Illegal Parking,QUEENS,2013-10-25 23:11:36,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-25 22:28:40,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-25 22:24:52,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-25 22:14:10,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-25 21:57:49,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-25 21:31:03,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-25 21:20:35,Unauthorized Bus Layover
Illegal Parking,QUEENS,2013-10-25 21:13:02,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-25 20:31:33,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-25 20:16:00,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-25 20:01:34,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-25 19:46:05,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-25 19:01:00,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-25 17:43:18,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-25 17:32:42,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-25 14:41:55,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-25 14:36:56,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-25 14:07:39,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-25 13:21:06,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-25 13:20:05,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-25 12:57:15,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-25 12:15:40,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-25 12:02:52,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-25 11:51:17,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-25 09:23:15,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-25 09:03:34,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-25 09:02:16,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-25 08:51:03,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-25 08:40:23,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-25 08:18:56,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-25 00:53:17,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-25 00:01:35,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-24 22:45:56,Overnight Commercial Storage
Illegal Parking,QUEENS,2013-10-24 22:14:22,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-24 21:55:07,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-24 21:21:11,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-24 21:07:26,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-24 20:26:02,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-24 20:08:27,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-24 19:41:33,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-24 19:38:30,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-24 19:36:11,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-24 19:28:00,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-24 19:25:32,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-24 19:20:20,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-24 19:16:45,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-24 19:14:04,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-24 19:13:08,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-24 19:11:44,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-24 19:09:50,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-24 19:07:54,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-24 18:54:07,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-24 18:17:01,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-24 15:22:08,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-24 14:42:37,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-24 12:43:40,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-24 12:37:45,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-24 10:58:39,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-24 10:12:57,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-24 09:36:14,Double Parked Blocking Traffic
Illegal Parking,QUEENS,2013-10-24 08:45:31,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-24 08:00:38,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-24 06:04:23,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-24 04:57:25,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-24 04:08:59,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-23 23:26:47,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-23 23:18:30,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-23 23:09:50,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-23 23:00:19,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-23 22:58:48,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-23 21:14:56,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-23 21:13:37,Overnight Commercial Storage
Illegal Parking,QUEENS,2013-10-23 20:37:16,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-23 19:51:02,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-23 19:32:09,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-23 19:29:42,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-23 19:27:43,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-23 19:25:09,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-23 19:08:22,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-23 18:13:08,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-23 18:12:04,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-23 18:08:16,Overnight Commercial Storage
Illegal Parking,QUEENS,2013-10-23 18:03:48,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-23 17:55:07,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-23 17:50:03,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-23 17:23:43,Overnight Commercial Storage
Illegal Parking,QUEENS,2013-10-23 15:37:05,Double Parked Blocking Traffic
Illegal Parking,QUEENS,2013-10-23 13:36:44,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-23 12:57:47,Double Parked Blocking Traffic
Illegal Parking,QUEENS,2013-10-23 12:52:55,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-23 12:51:48,Double Parked Blocking Traffic
Illegal Parking,QUEENS,2013-10-23 12:04:24,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-23 11:59:18,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-23 11:53:14,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-23 11:39:55,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-23 11:23:38,Overnight Commercial Storage
Illegal Parking,QUEENS,2013-10-23 11:14:05,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-23 10:41:03,Double Parked Blocking Traffic
Illegal Parking,QUEENS,2013-10-23 10:34:46,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-23 10:01:40,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-23 09:59:02,Double Parked Blocking Vehicle
Illegal Parking,QUEENS,2013-10-23 09:16:35,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-23 08:53:03,Double Parked Blocking Traffic
Illegal Parking,QUEENS,2013-10-23 08:06:57,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-23 01:39:15,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-23 00:32:59,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-22 22:30:07,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-22 22:14:35,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-22 21:57:32,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-22 21:42:40,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-22 21:32:22,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-22 21:21:50,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-22 21:19:42,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-22 20:19:12,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-22 19:52:47,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-22 19:18:00,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-22 18:55:56,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-22 18:50:37,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-22 17:45:10,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-22 17:16:51,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-22 17:14:31,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-22 16:25:44,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-22 16:22:17,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-22 15:22:11,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-22 14:50:21,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-22 13:51:27,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-22 12:48:12,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-22 12:46:01,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-22 12:27:05,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-22 12:23:09,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-22 12:14:06,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-22 12:03:55,Double Parked Blocking Traffic
Illegal Parking,QUEENS,2013-10-22 11:34:38,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-22 10:39:28,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-22 09:56:19,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-22 09:41:36,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-22 07:41:30,Double Parked Blocking Traffic
Illegal Parking,QUEENS,2013-10-22 07:21:17,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-22 07:01:35,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-22 06:47:02,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-22 01:06:08,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-22 00:06:10,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-21 22:36:39,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-21 22:28:20,Detached Trailer
Illegal Parking,QUEENS,2013-10-21 22:20:46,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-21 22:06:53,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-21 21:55:08,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-21 21:46:50,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-21 21:11:56,Double Parked Blocking Vehicle
Illegal Parking,QUEENS,2013-10-21 21:03:34,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-21 20:58:17,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-21 20:43:42,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-21 19:59:04,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-21 19:44:40,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-21 19:43:58,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-21 19:36:13,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-21 19:30:20,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-21 19:17:08,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-21 18:51:25,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-21 18:50:19,Double Parked Blocking Traffic
Illegal Parking,QUEENS,2013-10-21 18:13:34,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-21 17:24:02,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-21 15:51:17,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-21 15:47:52,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-21 15:28:44,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-21 15:14:51,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-21 14:37:23,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-21 11:41:22,Double Parked Blocking Traffic
Illegal Parking,QUEENS,2013-10-21 10:44:10,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-21 10:19:41,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-21 10:09:53,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-21 09:29:43,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-21 09:23:18,Overnight Commercial Storage
Illegal Parking,QUEENS,2013-10-21 09:03:49,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-21 08:34:08,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-21 07:43:35,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-21 07:10:03,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-21 05:59:16,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-21 00:12:01,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-20 22:46:01,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-20 21:32:39,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-20 21:29:18,Overnight Commercial Storage
Illegal Parking,QUEENS,2013-10-20 21:24:10,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-20 21:08:08,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-20 20:55:19,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-20 20:44:15,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-20 20:26:26,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-20 20:15:50,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-20 20:10:22,Posted Parking Sign Violation
